experiment,repeat,seed,n_signals,eve_fraction,noise_probability,noise_model,loss_probability,basis_probability_z,sample_fraction,sample_size,abort_threshold,confidence,n_detected,n_sifted,n_test,n_remaining,actual_errors,test_errors,qber_actual,qber_estimate,qber_ci_low,qber_ci_high,qber_ci_width,detected_fraction,sifted_fraction,candidate_fraction,has_error,full_sample,expected_qber
05_loss_retention,28,122456559352843739273107901128512249364,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9918,1983,7935,222,45,0.02238354506957048,0.0226928895612708,0.017002755045861337,0.030228723039156316,0.01322596799329498,1.0,0.4959,0.39675,1,1,0.02
05_loss_retention,29,222299201540971024522712325538040718871,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10049,2009,8040,205,43,0.02040003980495572,0.02140368342458935,0.01592892899888603,0.02870521663985267,0.012776287640966638,1.0,0.50245,0.402,1,1,0.02
05_loss_retention,30,286721100201081246846275952141956771168,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10062,2012,8050,169,38,0.016795865633074936,0.018886679920477135,0.01379085784567461,0.02581615513212321,0.012025297286448598,1.0,0.5031,0.4025,1,1,0.02
05_loss_retention,31,166132706418201207231860786185312048216,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10078,2015,8063,199,36,0.01974598134550506,0.017866004962779156,0.012932789989923763,0.02463403255046378,0.011701242560540016,1.0,0.5039,0.40315,1,1,0.02
05_loss_retention,32,245934623065163318205937650984886298509,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9996,1999,7997,173,40,0.017306922769107645,0.02001000500250125,0.014729107520873952,0.02713214837207193,0.012403040851197979,1.0,0.4998,0.39985,1,1,0.02
05_loss_retention,33,321547540381749927180003729780133953037,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10028,2005,8023,178,36,0.017750299162345433,0.017955112219451373,0.012997429017988352,0.024756400925972206,0.011758971907983855,1.0,0.5014,0.40115,1,1,0.02
05_loss_retention,34,196696145034681080736107153489144408948,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10090,2018,8072,214,47,0.021209117938553023,0.023290386521308225,0.017559785430528017,0.030832465303989698,0.01327267987346168,1.0,0.5045,0.4036,1,1,0.02
05_loss_retention,35,280246659094429972371501191698604949853,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9987,1997,7990,201,34,0.020126164013217183,0.01702553830746119,0.012209031381333162,0.023696591477480364,0.011487560096147202,1.0,0.49935,0.3995,1,1,0.02
05_loss_retention,36,182148156053122386210152163234383729005,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9956,1991,7965,206,41,0.0206910405785456,0.02059266700150678,0.015215788415698477,0.027815931444105164,0.012600143028406688,1.0,0.4978,0.39825,1,1,0.02
05_loss_retention,37,290296043119177840466507563774007020905,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9921,1984,7937,190,35,0.01915129523233545,0.017641129032258066,0.012711657593777344,0.024434895765916283,0.011723238172138939,1.0,0.49605,0.39685,1,1,0.02
05_loss_retention,38,15200658057817615774899843185597696090,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9848,1969,7879,181,40,0.018379366368805848,0.02031488065007618,0.014954041564038595,0.02754377722714397,0.012589735663105374,1.0,0.4924,0.39395,1,1,0.02
05_loss_retention,39,241028015248711537626008617473566788955,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10117,2023,8094,211,43,0.020855984975783334,0.021255561047948592,0.015818433731904384,0.02850741051689437,0.012688976784989987,1.0,0.50585,0.4047,1,1,0.02
05_loss_retention,40,140854551646495775945865643965361641259,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9943,1988,7955,212,47,0.021321532736598613,0.023641851106639838,0.017825448360400564,0.03129565933991958,0.013470210979519018,1.0,0.49715,0.39775,1,1,0.02
05_loss_retention,41,62329582625401140458762157715141630399,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10019,2003,8016,196,35,0.019562830621818544,0.017473789316025962,0.01259082746421519,0.024204036672230613,0.011613209208015424,1.0,0.50095,0.4008,1,1,0.02
05_loss_retention,42,160980420658399206438020693626989381042,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,10132,2026,8106,174,36,0.017173312277931306,0.017769002961500493,0.012862425607168285,0.02450081697078005,0.011638391363611764,1.0,0.5066,0.4053,1,1,0.02
05_loss_retention,43,313306797762840688860282643760647160895,20000,0.0,0.04,depolarizing,0.0,0.5,0.2,,0.11,0.95,20000,9951,1990,7961,190,37,0.019093558436338056,0.0185929648241206,0.013519091218022854,0.02552185583236867,0.012002764614345816,1.0,0.49755,0.39805,1,1,0.02
